detectedEmotion,emotion,lemmatisation,rate,text,words,wordsAfterLemmatisation,wordsFound
negative,negative,"[na, ludzki, to, ten, film, być, prosta, prosty, oda, od, głupia, głupieć, głupi, głupio, fabuła, skończyć, na, fatalny, dobór, być, straszliwie, chaotyczny, sztucznie, postać, on, nie, być, prawdziwy, ani, nawet, on, nie, star, starać, stara, stary, się, on, Sam, temat, mieć, miał, być, bycie, taka, tak, intrygować, intrygujący, że, mieć, miał, wystarczyć, na, ja, miąć, film, być, nudny, raz, ciekawy, zabawa]",1.0,Żerowanie na ludzkiej głupocie.                        Moja recenezja tego filmu jest prosta - DNO. Zaczynając od głupiej fabuły a skończywszy na fatalnym doborze aktorów. Film jest straszliwie chaotyczny i sztucznie zagmatwany. Żadna z postaci nie jest prawdziwa ani nawet nie stara się nią być. Sam temat miał być tak intrygujący że miał wystarczyć na sukces. Dla mnie film jest nudny i nieciekawy.Ostatni raz ciekawą zabawę w ...              ,64.0,61.0,16.0
negative,neutral,"[film, on, nie, dorastać, do, pięta, książka, bardzo, się, zawieść, jedyna, jedyny, jedyne, pozytyw, jak, jaka, dla, ja, miąć, to, ten, film, być, który, zagrać, bardzo, fajnie]",5.0,"niestety...                        film nie dorasta do pięt książce, bardzo się zawiodłem, jedynym pozytywem, jak dla mnie, tego filmu jest Audrey Tautou, która zagrała bardzo fajnie ;]              ",25.0,27.0,5.0
negative,positive,"[on, nie, zaniżać, nota, film, być, bardzo, dobry, nawet, jeżeli, to, ten, wszystko, fikcja, to, ten, temat, wiedza, wiedzieć, że, on, nie, być, to, ten, całkowicie, wyssać, palec, on, nie, mój, mieć, jednak, niepodważalny, oceniać, na]",8.0,"Zafajdane MOCHERY nie zaniżajcie noty filmu!                        Film jest bardzo dobry, nawet jeżeli to wszystko fikcja, to temat ciekawy. Zresztą zinteresowani wiedzą że nie jest to całkowicie wyssane z palca, nie ma jednak niepodważalnych dowodów.Film oceniam na 8/10 i polecam jednak należy go oglądać z uwagą w innym wypadku można szybko się pogubić i całość traci sens a film staje się tylko przeciągającą nudą.Nie nawidzę ...              ",64.0,36.0,7.0
positive,positive,"[ja, miąć, bardzo, dobry, dlatego, ocena, mama, mieć, mamić, bo, on, nie, Alo, Ali, Al, Ala, film, bardzo, mi, ja, si, wiek, film, to, ten, si, wiek, on, nim, cosinus, dzieje, dziać, Dobra, obsada, aktorka, no, Toma, Tom, spoko, nawet, ten, ta, tematyka, religijny]",8.0,Dla mnie bardzo dobry dlatego ocena 8 .                         Nie mam porowniania bo ksiazki nie czytalem . Ale film bardzo mi sie spodobal . Trzyma w napieciu . Mimo ze film dosc dlugi to ciagle sie w nim cos dzieje . Dobra obsada i ladna aktorka glowna Audrey Tautou no i Tom spoko naprawde nawet ta tematyka religijna i siadla               ,59.0,44.0,10.0
negative,neutral,"[straszny, zdanie, zdać, Hanks, wiek, ogół, on, nie, pasować, to, ten, postać, Roberta, Roberto, Robert, książka, ojciec, ocean, wiele, dobry, bardzo, trzymać, wiek, napiąć, napięcie, pozdrawiać]",5.0,"Film straszna komercha                        Moim zdaniem Hanks w ogóle nie pasuje to postaci Roberta Landgoma, książka o wiele lepsza, bardziej trzyma w napięciu, pozdrawiam ;)              ",24.0,26.0,7.0
positive,negative,"[on, nie, dorastać, książka, do, pięta, film, dość, kurczowo, trzymać, się, wydarzenie, wiek, książka, ale, wbrew, pozora, pozór, on, nie, wyjść, wynijść, wyniść, to, ten, ten, produkcja, na, ponad, godzina, trwać, trwanie, film, dowiadywać, się, wiele, rzecz, istotny, wiek, fabuła, przez, co, wiek, trakt, oglądać, pojawiać, si, nuda, zwłaszcza, osoba, on, nie, być, wiek, kilka, mało, mniej, znaczyć, znaczący, wątek, być, według, dobre, dobry, który, wiek]",4.0,"Film nie dorasta książce do pięt                        Fabuła filmu dość kurczowo trzyma się wydarzeń w książce, ale wbrew pozorom nie wyszło to tej produkcji na zdrowie. Przez ponad 2 godziny trwania filmu dowiadujemy się wiele rzeczy istotnych w fabule, przez co w trakcie oglądania pojawia sie nuda, zwłaszcza u osób nie będących w temacie. Rezygnacja z kilku mniej znaczących wątków byłaby według dobrym pomysłem. Sceny, które w książce ...              ",67.0,66.0,16.0
negative,negative,"[książka, film, po, raz, kolejny, okazywać, okazować, się, że, być, dobry, oda, od, moi, moja, mój, moje, zdanie, zdać, adaptacja, niesamowity, twórczość, Dan, Dana, Brown, się, on, nie, powieść, szybka, szybko, tu, się, dzieje, dziać, można, możny, źle, wszystko, Książek, rewelacja, właśnie, dlatego, dobrze, lepiej, być, przeczytać, późno, oglądnąć, film, szukać, to, ten, co, on, nie, być, wiek, książka, być]",4.0,książka a film                        I własnie po raz kolejny okazuje się że ksiązka jest lepsza od filmu.... Ogólnie moim zdaniem adaptacja niesamowitej twórczości Dana Browna się nie powiodła . Za szybko tu się dzieje i można źle wszystko pojąć. Książka rewelacja ! I właśnie dlatego lepiej jest przeczytać ksiązkę a później oglądnąć film szukając tego co nie było w książce :)Film jest beznadziejny....               ,62.0,60.0,8.0
negative,positive,[],8.0,"8/10 Bardzo dobry film...                        8/10 Bardzo dobry film... przed chwilą skończyłem oglądać rozszerzoną wersję tego filmu (prawie 3h), podobał mi się ;]              ",22.0,0.0,0.0
negative,positive,"[porażający, porażać, ale, czy, egoizm, to, ten, jeden, dobry, lepsze, taka, tak, samo, sam, jak, jaka, si, na, jaki, jak, jaka, ocena, kod, koda, marne, marny, ledwo, dlaczego, ano, prawdopodobnie, dlatego, wiek, wiele, osoba, si, potrzeba, skrytykować, film, racja, naruszyć, naruszenie, on, jak, jaka, saga, sadz, sadza, kazanie, kazać, na, niedzielny, msza]",10.0,"porażające ale glupota czy skonczony egoizm to ciezko ocenic                        jeden z lepszych filmow ktore widzialem, tak samo jak swiezsze ""anioly i demony"" znajduja sie na filmwebie z jaka ocena? kod - marne 6.5 a anioly ledwo 7.3 dlaczego? ano prawdopodobnie dlatego ze w wielu osobach obudzila sie nagla potrzeba skrytykowania filmu z racji naruszenia ich ""wiary w bozka"". paranoja. jak sadze kazania na niedzielnych mszach oraz ...              ",66.0,52.0,13.0
negative,positive,[],10.0,"2/10                        Film ewenement, ponieważ nie pamiętam drugiego filmu, na którym bym zasnął, a na tym się udało.              ",17.0,0.0,0.0
negative,negative,[],4.0,"4/10                        Książka wręcz mnie oczarowała. W 2 dni przeczytałam. No i wreszcie postanowiłam obejrzeć film. Taka kaszana, ze żal. Ja myślałam, ze tu akcja będzie sie toczyc, ze szok, a tu prawie zasnęłam. Niestety, więcej niż 4/10 nie dam. no...może od biedy 5-.Jak dla mnie ""Anioły i demony"" 8/10. Diametralna różnicaPs: To jest moje zdanie i proszę, zeby zaraz nie wyskakiwali jacys fanatycy tego filmu z potępieniami.               ",67.0,0.0,0.0
positive,positive,"[oceniać, na, być, bardzo, dobry, czytać, komentarz, tu, na, temat, to, ten, film, wnioskować, że, większość, on, to, ten, bzdura, wypisywać, przez, jakiś, dziecko, wszystek, wszyscy, taca, taki, wierzący, wierzyć, być, to, ten, dla, czego, co, na, świat, być, taka, tak, źle, oczywista, oczywisty, bo, wierzyć, wiek, te, ten, ty, bajka, ale, on, nie, przekładać, on, na, żyto, żyć, życie, codzienny, założyć, się, że, być, taki, sam, jak, jaka, cały, reszta, człowiek, ludzie, który, wiek, bóg]",8.0,"Film oceniam na 10!                        Film jest bardzo dobry, czytałem komentarze tu na temat tego filmu i wnioskuję że większość z nich to bzdury wypisywane przez jakieś dzieci:) Skoro wszyscy tacy wierzący jesteście to dla czego na świecie jest tak źle? Odpowiedź oczywista, bo wierzycie w te bajki ale nie przekładacie ich na życie codzienne, założę się że jesteście takimi samymi ""grzesznikami"" jak cała reszta ludzi którzy w boga nie ...              ",69.0,76.0,18.0
positive,positive,"[bardzo, film, dać, mi, ja, do, myśleć, myślenie, myślić, aż, przeczytać, książka, to, ten, ja, miąć, rzadkość, oczywiście, książka, dobry, ale, film, wart, warta, obejrzeć, pozytywnie]",8.0,"bardzo ineteresujący film                        dał mi do myślenia,aż przeczytałem książkę (a to u mnie rzadkość) i oczywiście książka lepsza,ale film warty obejrzenia:]pozytywnie              ",21.0,26.0,4.0
negative,negative,"[ocena, brak, na, tym, ten, to, forum, być, nudny, jak, jaka, transmisja, obrady, obrada, przewidywalny, nawet, jeśli, on, nie, czytać, książka, przed, oglądnąć, czyli, ja, to, ten, łatwość, przewidzieć, każdy, rucho, ruch, czy, odkryć, odkrycie, bohater, co, najmniej, mało, minutowy, wyprzedzenie, wyprzedzić, przez, co, czuć, się, oglądać, nieco, upośledzić, upośledzona, upośledzony, dziecko, we, mgła, bawić, się, wiek, Indiana, pomijać, fakt]",2.0,"Obiektywnej oceny brak na tym forum                        Film jest nudny jak transmisja z obrad sejmu. Fabuła przewidywalna i nawet jeśli nie czytałeś książki przed oglądnięciem (czyli ja) to z łatwością przewidzisz każdy ruch czy odkrycie bohaterów z co najmniej 45 minutowym wyprzedzeniem, przez co czułem się jakbym oglądał nieco upośledzone dzieci we mgle bawiące się w Indianę Jonesa. Oczywiście pomijam fakt denerwującego ...              ",61.0,60.0,12.0
positive,positive,"[jak, jaka, dla, on, nie, mi, ja, dla, ja, miąć, ojciec, ocean, niebo, dobry]",6.0,jak dla mnie....beznadziejny                        nie podobal mi sie. Jak dla mnie nudny. Ksiazka byla o niebo lepsza              ,16.0,14.0,4.0
negative,positive,"[być, sorek, sorka, Toma, Tom, Hanks, mi, ja, tu, on, nie, jak, jaka, go, on, taka, tak, moi, moja, mój, moje, zdanie, zdać, on, wiek, ten, rola, to, ten]",7.0,FIlm byłby ok...ale sorki Tom Hanks mi tu jakos nie pasuje...                        jak go lubie tak moim zdaniem on w tej roli to porazka...              ,23.0,29.0,8.0
negative,neutral,"[zlot, czarownica, prosić, ten, wszystek, wszyscy, debil, idiota, który, bać, boja, się, obejrzeć, film, czy, przeczytać, bo, się, nawrócić, na, ojciec, ocean, oszczędzić, się, komentarz]",5.0,zlot czarownic                        proszę tych wszystkich debili i idiotów którzy boją się obejrzeć film czy przeczytać książke bo się nawrócą na sztatana o oszczędzenie sobie komentarzy O/10 DNO bo film jest co najwyżej na 7/10ale nie po to pisze żeby się kłucić z anty anty fanami tylko o po to żeby wypisać fakty.kłamstwa mnie nie obchodzą więc licze na wasze odpowiedzi...:P              ,60.0,25.0,8.0
negative,positive,"[to, ten, ważny, jeśli, chodzić, ojciec, ocean, ten, sprawa, Jezus, Maria, Magdalena, to, ten, powiedzieć, że, ja, miąć, to, ten, on, nie, co, ja, miąć, to, ten, obchodzić, czy, mieć, miał, dziecko, niech, się, mieć, miał, ja, wiek, on, wierzyć, za, on, czyn, słowa, słowo, on, nie, marnować, na, wyszukiwać, teza, on, małżeństwo, Maria, wiek, on, wierzyć, bez, beza, wyjątek, czy, mieć, miał, żona, czy]",9.0,"Czy to ważne?                        Jestem Chrześcijaninem i jeśli chodzi o tę sprawę z Jezusem i Marią Magdaleną to powiem szczeże, że mnie to nie obchodzi. Już wyjasniam; co mnie to obchodzi czy miał żone i dziecko, niech sobie miał, ja w niego wierzę za jego czyny i słowa i nie marnuje czsu na wyszukiwanie jakichśtam tez potwierdzajacych jego małżeństwo z Marią Magdaleną. Ja poprostu w niego wierzę, bez wyjątku czy miał żonę czy nie. ...              ",73.0,65.0,20.0
negative,neutral,"[taki, fajny, czytadło, bo, to, ten, chyba, za, wiele, powiedzieć, zabierać, się, za, być, dobry, jakby, traktować, ojciec, ocean, jako, jaka, budżetowy, reklamówka, książka, bez, beza, sztuczny, bezkształtny, przygotowywać, się, do, wciągać, superprodukcja, być, góry, góra, skazany, skazać, na, Cała, film, skwitować, dwa, słowa, słowo, ja, miąć]",5.0,"Blah                        Ej, Ron... Screwiłeś takie fajne czytadło (bo 'książka' to chyba za wiele powiedziane) i zabierasz się za następne... 'Kod Da Vinci' byłby dobry, jakby traktować o jako budżetową reklamówkę książki, bez sztucznej Tatou i bezkształtnego Hanksa. Tymczasem, przygotowując się do wciągającej superprodukcji jesteśmy z góry skazani na porażkę. Cały film skwituję dwoma słowami - sztuczno i nudno. Ode mnie 4.               ",61.0,47.0,12.0
positive,positive,"[dwa, teoria, film, uderzać, wiek, religia, prosty, lud, człowiek, ludzie, on, nie, móc, się, pogodzić, tym, ten, to, że, być, dwa, teoria, na, temat, żyć, życie, Jezus, żyć, wiek, czas, Jezus, czy, znać, go, on, osobiście, skąd, wiedzieć, jak, jaka, mieć, miał, żona, czy, on, nie, Biblia, dowiadywać, się, że, Jezus, on, nie, mieć, miał, istnieć, także, zapisek, zapiska, Magdalena, który, pisać, że, być]",10.0,"Są dwie teorie!                        Czy film uderza w religie?Nie wiem.Po prostu ludzie nie mogą się pogodzić z tym że są dwie teorie na temat życia Jezusa Chrystusa.Czy żyliście w czasach Jezusa,czy znacie go osobiście?Nie.Więc skąd wiecie jak żył.Czy miał żonę czy nie?Powiedzcie sami.Może z Biblii.Tak,z Biblii dowiadujemy się , że Jezus nie miał żony.Ale istnieją także zapiski św.Marii Magdaleny,która pisała ,że jest towarzyszką ...              ",62.0,64.0,14.0
negative,positive,[],8.0,"8/10, i o co te wielkie kościelne halo?                        Czy ten film ma niską ocenę dlatego, że jest słabą adaptacją książki (nie czytałem dlatego się pytam) czy dlatego, że wielu kościelniaków dało 1/10? nierozumiem o co cały ten rozgłos, przecież to logiczne że Jezus jak każdy człowiek mógł mieć żonę, no i co w tym takiego. Jeśli ktoś wierzy, że ciało ulotniło się do nieba (tzn. że niby gdzie, na Ksieżyc? na Marsa? na chmurkę?) ...              ",74.0,0.0,0.0
negative,positive,"[ojciec, ocean, tym, ten, to, film, na, lekcje, lekcja, religia, powiedzieć, że, film, po, prosty, być, fikcyjny, jak, jaka, wszystek, książka, Dan, Dana, Brown, ale, za, to, ten, dobry, ja, tenże, też, taka, tak, twierdza, twierdzić, ale, liczyć, na, duży, wielki, arcydzieło, niżyć, niża, nizać, niż, to, ten, co, pokazać, ten, film, zwłaszcza, że, Toma, Tom, Hanks, to, ten, mój, ulubić, ulubiony, do, ten, ewangelia, Magdalena, co, była, były, być, mowa, wiek, film, to, ten, ewangelia, być, to, ten, gatunek, literacki, taki, taka, sam, jak, jaka]",7.0,Rozmawiałem o tym filmie na lekcji religii ...                        Katechetyczka powiedziała że film po prostu jest fikcyjny jak wszystkie książki Dana Browna ale za to dobry ja też tak twierdzę ale liczyłem na większe arcydzieło niż to co pokazał ten film zwłaszcza że Tom Hanks to mój ulubiony aktor. Co do tej ewangelii Magdaleny co była mowa w filmie to prawda. Kiedyś ewangelia był to gatunek literacki taki sam jak opowiadanie. Dlatego ...              ,71.0,86.0,22.0
negative,negative,[],4.0,4/10                        Pomysł świetny ale wykonanie takie sobie.Według mnie film jest po prostu nudny i gdyby nie reklama jaką Kościół mu zrobił to nikt by na niego uwagi nie zwrócił.              ,29.0,0.0,0.0
negative,positive,"[średni, trocha, film, ja, miąć, on, nie, urzec, bo, pod, kąt, prawda, raczej, raczy, ja, miąć, on, on, nie]",7.0,"Średni.                        Raczej średni i troch naciągany. Jako film mnie nie urzekł, bo pod kątem prawdy raczej mnie on nie interesuje.              ",20.0,19.0,3.0
negative,negative,"[góry, góra, mówić, że, być, ateista, także, nic, nica, ja, miąć, on, nie, Alo, Ali, Al, Ala, sam, film, być, być, taka, tak, naciągać, bez, beza, sens, że, aż, słabo, si, rwać, bez, beza, duży, wielki, ład, jeden, moi, moja, mój, moje, ulubić, ulubiony, aktor, jaki, być, chyba, zły, rola, wiek, swój, swoje, drewniany, to, ten, ja, go, on, jeszcze, on, nie, jak, jaka, film, musić, muszy, musieć, słaby, żeby, nawet, on, go, on, on, nie, uratować, Słaby, na, tyle, tyli, tył, że, dawać]",2.0,"Z góry mówię że jestem ateistą,także nic mnie nie obraziło.                        Ale sam film jest fatalny.Historia jest tak naciągana i bez sensu,że aż słabo sie robi.Akcja rwana,bez większego ładu i składu.No i jeden z moich ulubionych aktorów jakim jest Hanks...Zagrał chyba najgorszą rolę w swoim życiu-tak drewnianego to ja go jeszcze nie widziałem.A jak film musi byc słaby żeby nawet on go nie uratował?Słaby na tyle,że daje mu ...              ",67.0,84.0,22.0
negative,negative,"[uderzać, wiek, religia, bez, beza, dwa, zdanie, sam, wykonać, wykonanie, gra, aktorski, on, nie, móc, się, doczepić, więc, to, ten, on, nie, robić, ale, ocena, film, również, składać, się, fabuła, który, dawać]",1.0,"Film uderza w religie , bez dwóch zdań                        Do samego wykonania i gry aktorskiej nie mogę się doczepić więc tego nie robię ale niestety...na ocenę filmu również składa się fabuła i przesłanie...Za które daje 0/10...Film podważa wiarę milionów ludzi na całym świecie i obraża religię... co mogę jeszcze napisać ? Przykro mi...                ",52.0,32.0,6.0
negative,negative,"[książka, książka, być, rówień, równie, równia, debilny, jak, jaka, film]",1.0,książka                        Czy książka jest równie debilna jak film?                                        ,8.0,10.0,1.0
positive,positive,"[świetny, bardzo, ciekawy, co, on, nastawić, negatywnie, ale, podejść, do, on, na, luz, luza, on, nie, przywiązywać, zbytni, waga, że, pokazywać, pokazować, Jezus, jako, jaka, mąż, Maria, Magdalena, czy, że, posiadać, obejrzeć, go, on, przyjaciółka, nic, nica, to, ten, we, ja, miąć, jako, jaka, katoliczka]",10.0,Ciekawy..                        Film świetny z bardzo bardzo ciekawą fabułą..;D Eh..Byłam co niego nastawiona negatywnie ale podeszłam do niego na luzie nie przywiązując zbytniej wagi że pokazuje Jezusa jako męża Marii Magdaleny czy że posiadał dziecko..xD Poprostu obejrzałam go z przyjaciółką i nic to we mnie jako katoliczki niezmieniło..xD              ,47.0,45.0,10.0
positive,positive,"[ja, miąć, się, podobać, film, grać, gra, Alo, Ali, Al, Ala, trzeba, pamiętać, to, ten, tylko, film, mój, mieć, co, się, taka, tak, tylko, ja, miąć, fajny, ciekawy, to, ten, ksiądz, książę, powiedzieć, trzeba, miecić, mieść, mieć, mocny, fundament, wiara, żeby, oglądnąć, ten, film, dla, się, podobać, jako, jaka, zwykły, oderwanie, oderwać, oda, od, rzeczywistość]",10.0,"Dobry                        Słuchajcie, mnie się podobał film, gra aktorka. Ale trzeba pamiętać ze to tylko film, fikcja. Nie ma co się tak podniecać. To tylko opowieść. Dla mnie fajny i ciekawy temat. Jak to ks powiedział trzeba poprostu mieć głeboki mocny fundament wiary żeby oglądnąć ten film poprostu dla rozrywki. Mnie się podobał jako zwykłe oderwanie od rzeczywistości :) Pozdrawiam.              ",59.0,55.0,12.0
positive,positive,"[film, film, szczególnie, wiek, wersja, rozszerzyć, logiczny, sposobić, sposób, ukazować, ukazywać, bardzo, prawdopodobny, teza, na, temat, żyć, życie, Jezus, jak, jaka, zbrodniczy, działanie, działać, ocena, to, ten]",10.0,Bardzo Dobry film                        Świetny film szczególnie w wersji rozszerzonej POLECAM.W logiczny sposób ukazuje bardzo prawdopodobną tezę na temat życia Jezusa jak i zbrodniczego działania kościoła. Moja ocena to 10/10.Bardzo chętnie obejrzę Anioły i Demony oby jak najwięcej filmów o tej tematyce lub podobnej :).              ,44.0,27.0,9.0
negative,positive,"[dużo, więcej, katolik, tym, ten, to, niski, wat, stosunek, do, to, ten, film, ciężko, pozostać, obojętny, ateista, być, go, on, promować, katolik, zaś, uznać, uznawać, za, obraza, własny, to, ten, pewność, być, powód, taka, tak, niski, ocena, bo, produkcja, na, prawda, wciągać, ponadto, mima, mimo, że, być, wiek, on, kilka, niedociągnięcie, bądź, być, naciągnięcie, wiek, stosunek, do, prawda, historyczny, to, ten, chyba, każdy, kto, cokolwiek, wiedzieć, na, temat, Święte, lub, lubić]",8.0,"Im więcej katolików tym niższa ocena...                        W stosunku do tego filmu, ciężko pozostać obojętnym, ateiści będą go promować, katolicy zaś uznają za obrazę własnej religii. I to z pewnością jest powodem tak niskiej oceny, bo produkcja na prawdę wciąga, ponadto mimo, że jest w niej kilka niedociągnięć bądź naciągnięć w stosunku do prawd historycznych, to chyba każdy kto cokolwiek wie na temat Świętego Graala lub interesuje ...              ",66.0,71.0,18.0
positive,negative,"[mama, mieć, mamić, że, pseudo, inteligent, on, nie, rozumieć, słowa, słowo, wiara, on, nie, polegać, na, zdrowy, rozsądek, słowo, być, odpowiedź, widocznie, ateista, maj, maja, zbyt, mały, mózg, żeby, to, ten, on, nie, wiedzieć, co, tłuc, do, łeb, to, ten, wierzyć, zawsze, być, wierzyć, na, tym, ten, to, to, ten, co, do, film, książka, autor, musieć, nieźle, się, nawalić, jak, jaka, to, ten, pisać, tyle, błąd, historyczny, geograficzny, wiek, żyć, życie]",3.0,"Czasami mam wrarzenie, że pseudo inteligenci nie rozumieją słowa wiara                        Wiara nie polega na zdrowym rozsądku, słowo ""wiara"" jest odpowiedzią, widocznie ateiści maja zbyt mały mózg żeby to pojąć. Choćby nie wiem co Ci tłukli do łba to Ty wierzysz i zawsze będziesz wierzyć, na tym to polega. A co do filmu i książki autor musiał nieźle się nawalić jak to pisał, tylu błędów historycznych, geograficznych w życiu nie ...              ",69.0,71.0,18.0
negative,negative,[],4.0,"PONIŻEJ OCZEKIWAŃ !!!!  4/10                         Kod da Vinci- 'wielkie dzieło' Rona Howarda niestety prezentuje żenujący poziom.... A przecież mógł być naprawdę interesującym filmem... Tajemnica i jej odkrywanie utonęło w sosie nudnych dialogów i nużącej akcji. Nawet plejada gwiazd nie pomaga temu obrazowi: Hanks- to chyba jeden z jego najgorszych filmów, Molina- gdzież podział się ten jego fenomen pamiętany z ""Fridy"" czy choćby ...              ",61.0,0.0,0.0
negative,negative,"[Szkoda, czas, być, nieciekawy, na, żenująco, niski, poziom, stworzyć, chyba, dla, to, ten, jeszcze, niezbyt, wat, otoczka, lichy, on, nie, trzymać, się, kupa, sensacja, sensacje, podać, ordynarny, słowo, szkoda, czas]",1.0,"Słabiutki!!!! Szkoda czasu!                        Film jest nieciekawy, na żenująco niskim poziomie - stworzony chyba dla 'ćwierćinteligentów' i to jeszcze niezbyt wymagających. W otoczce lichej i nie trzymającej się kupy sensacji podano ordynarną propagandę. Jednym słowem - szkoda czasu!!!!              ",37.0,30.0,10.0
positive,positive,"[ja, miąć, jeden, dobry, film, super, zrealizować, przedstawiać, cały, prawda, on, nie, te, ten, ty, kita, kit, co, na, kościół, Jezus, być, zwykły, człowiek, taki, jak, jaka, każdy, my, który, nauczać, głosić, taka, tak, jaka, jak, jaki, współczesny, papież, on, nie, chodzić, mi, ja, tu, ojciec, ocean, Benedykta, Benedykt, tylko, ogólnie, ojciec, ocean, rola, jaki, jaka, odgrywać, papież, więc, niby, on, nie, móc, by, miecić, mieść, mieć, żona, dziecko, dziecki, przecież, pastor, wiek, religia, prawosławna, prawosławny]",9.0,"Według mnie jeden z najlepszych filmów                        super zrealizowany, przedstawia całą prawdę, a nie te kity co na kościół wciska. Jezus był zwykłym człowiekiem takim jak każdy z nas, który nauczał i głosił Słowo Boże tak jaki i współczesny papież (nie chodzi mi tu o Benedykta XVI tylko ogólnie o rolę jaką odgrywa papież). Dlaczego więc niby nie mógł by mieć żony i dziecka, przecież np. pastorowie w religii prawosławnej także ...              ",70.0,76.0,25.0
positive,negative,"[film, być, si, taka, tak, bardzo, produkcja, otoczek, otoczka, do, swój]",2.0,film jest chłamem.                         Trudno sie dziwic ze tak bardzo przecietna produkcja potrzebowala otoczki skanadlu do swojej promocji.              ,17.0,11.0,2.0
negative,negative,"[marne, marny, naśladownictwo, to, ten, przypomnieć, mi, ja, się, film, ojciec, ocean, podobny, struktura, wspólny, elementy, element, doktorek, doktorka, odkrywać, kolejny, wskazówka, do, cel, mu, on, panienka, tajemny, organizacja, ścigać, wróg, odwołać, odwołanie, do, historia, tym, ten, to, że, wiek, reżyser, on, nie, ukrywać, że, to, ten, luźny, rozrywkowy, bajeczka, dla, cały, rodzina, dać, da, Vinci, mieć, miał, ambicja, być, bycie]",3.0,"marne naśladownictwo Skarbu Narodów                        Oglądając to przypomniał mi się film o podobnej strukturze - Skarb Narodów. Mnóstwo wspólnych elementów: doktorek odkrywający kolejne wskazówki do celu, pomagajaca mu panienka, tajemna organizacja, ścigający wrogowie, odwołania do historii itp. Z tym że w Skarbie Narodów reżyser nie ukrywał że to luźna rozrywkowa bajeczka dla całej rodziny, a Kod da Vinci miał ambicje być poważnym ...              ",61.0,61.0,15.0
negative,positive,"[odrzucać, wszelki, religia, ale, ten, film, być, bić, na, alarm, po, tym, ten, to, film, to, ten, złodziej]",8.0,Nauka odrzuca wszelkie religie ale ten film jest fajny.                        Mohery biją na alarm po tym filmie i książce.Księża to złodzieje i pedofile.              ,22.0,18.0,6.0
negative,negative,"[dla, nierozumny, szary, moja, mój, recenzja, który, móc, może, pobudzić, do, oda, od, to, ten, że, film, zupełnie, mi, ja, się, on, nie, podobać, zaczynać, oda, od, głupia, głupieć, głupi, głupio, fabuła, skończyć, na, fatalny, dobór, być, straszliwie, chaotyczny, sztucznie, postać, on, nie, być, prawdziwy, ani, nawet, on, nie, star, starać, stara, stary, się, on, Sam, temat, mieć, miał, być, bycie, taka, tak, intrygować, intrygujący, że]",1.0,"Film dla nierozumnej szarej masy.                        Taka moja recenzja, która może pobudzi do dyskusji.------------------------------ --------Zacznę od tego że film zupełnie mi się nie podobał, zaczynając od głupiej fabuły a skończywszy na fatalnym doborze aktorów. Film jest straszliwie chaotyczny i sztucznie zagmatwany. Żadna z postaci nie jest prawdziwa ani nawet nie stara się nią być. Sam temat miał być tak intrygujący że miał ...              ",61.0,66.0,15.0
negative,positive,"[on, nie, być, temat, na, dobry, film, góry, góra, wiadomo, być, że, film, być, nudny, po, obejrzeć, go, on, stwierdzać, że, się, on, nie, podobać, się, mi, ja, grać, gra, aktorski, film, on, nie, trzymać, tenże, też, klimat, go, on, oglądać, on, nie, czytać, wcześnie, wczesno, powieść, być, pewien, pewny, że, po, książka, już, on, nie]",6.0,"To nie był temat na dobry film                         Z góry wiadomo było że film będzie nudny i po obejrzeniu go stwierdzam że się nie myliłem. Nie podobała się mi gra aktorska, film nie trzyma też klimatu książki. Gdybym go oglądał nie czytając wcześniej powieści byłbym pewien że po książkę już nie sięgnę.               ",51.0,56.0,9.0
negative,positive,"[gratulować, wszystek, wszystko, wszyscy, tym, ten, to, który, wybrać, się, na, ten, film, do, kino, kin, kina, on, nie, lubić, spać, wiek, pozycja, tylko, jedno, jeden, pytać, pytanie, Ron, Howard, ten, Ron, Howard, oda, od, film, oda, od, Toma, Tom, Hanks, mój, mieć, przez, cały, film, taki, taka, wyraz, twarz, jakby, cierpieć, powód, chroniczny, zaparcie, zaprzeć, ale, móc, może, ten, ta, mina, to, ten, tylko, niesmak, wywołać, udziać, udział, wiek, tym, ten, to]",6.0,"Ja gratuluje wszystkim tym,                        którzy wybrali się na ten film do kina :D.Ja strrrasznie nie lubię spać w pozycji siedzącej.Mam tylko jedno pytanie Ron Howard, ten Ron Howard? Ten od filmu ""Piękny umysł""? Ten od ""Apollo 13""?ps.s  Tom Hanks ma przez cały film taki wyraz twarzy, jakby cierpiał z powodu chronicznego zaparcia :( ale może ta mina to tylko niesmak wywołany udziałem w tym przedsięwzięciu.                ",65.0,73.0,21.0
negative,positive,"[wierzyć, czy, wierzący, wierząca, wierzyć, ale, on, nie, praktykujący, praktykująca, praktykować, czas, bardzo, ufać, jaki, być, wasz, wasze, wacha]",8.0,Komu wierzyć RELIGII czy NAUCE.                        Jestem wierzącym ale nie praktykującym i czasami bardziej ufam nauce.A jakie jest wasze zdanie.              ,19.0,19.0,2.0
